#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2285 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:32.36 aq:19.14 tex:66984 mv:43386 misc:278 imb:8160 pmb:0 smb:0 d:- ref:;
in:85 out:86 type:b dur:2 cpbdur:2 q:27.51 aq:19.76 tex:2921 mv:1341 misc:2050 imb:6 pmb:427 smb:7727 d:- ref:0 ;
in:88 out:87 type:P dur:2 cpbdur:2 q:27.51 aq:19.76 tex:87277 mv:38508 misc:2543 imb:2717 pmb:1505 smb:3938 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:27.51 aq:19.53 tex:6780 mv:3556 misc:3464 imb:61 pmb:823 smb:7276 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:27.58 aq:21.49 tex:119247 mv:40053 misc:1220 imb:3608 pmb:1080 smb:3472 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:27.54 aq:19.76 tex:56216 mv:38351 misc:4497 imb:1034 pmb:2504 smb:4622 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:27.53 aq:21.28 tex:48257 mv:40655 misc:4256 imb:1188 pmb:2385 smb:4587 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:27.56 aq:19.40 tex:8708 mv:6378 misc:4490 imb:92 pmb:1204 smb:6864 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:27.66 aq:16.41 tex:136337 mv:43380 misc:931 imb:4632 pmb:1263 smb:2265 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:27.62 aq:18.67 tex:59320 mv:44786 misc:3814 imb:1285 pmb:2613 smb:4262 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:27.60 aq:19.78 tex:5395 mv:2454 misc:2879 imb:51 pmb:566 smb:7543 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:27.64 aq:20.18 tex:20705 mv:22654 misc:5489 imb:394 pmb:2073 smb:5693 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:27.52 aq:17.32 tex:53939 mv:35843 misc:3482 imb:3129 pmb:1875 smb:3156 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:27.59 aq:19.33 tex:14193 mv:17901 misc:5298 imb:314 pmb:1667 smb:6179 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:27.63 aq:19.77 tex:2272 mv:1663 misc:2385 imb:13 pmb:484 smb:7663 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:27.56 aq:19.77 tex:3013 mv:3047 misc:3140 imb:43 pmb:705 smb:7412 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:27.64 aq:19.60 tex:99130 mv:39514 misc:1716 imb:3121 pmb:1457 smb:3582 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:27.58 aq:18.24 tex:54751 mv:39547 misc:4198 imb:1289 pmb:2428 smb:4443 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:27.55 aq:20.11 tex:35154 mv:30723 misc:5035 imb:983 pmb:1935 smb:5242 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:27.61 aq:20.14 tex:4532 mv:4348 misc:3536 imb:61 pmb:820 smb:7279 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:27.84 aq:18.08 tex:70625 mv:38105 misc:2446 imb:2309 pmb:2027 smb:3824 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:27.74 aq:18.05 tex:35994 mv:30366 misc:4888 imb:684 pmb:2632 smb:4844 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:27.69 aq:19.25 tex:2724 mv:2161 misc:2291 imb:42 pmb:489 smb:7629 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:27.79 aq:20.00 tex:16224 mv:19029 misc:5267 imb:416 pmb:1798 smb:5946 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:27.97 aq:17.53 tex:75870 mv:36779 misc:1951 imb:2970 pmb:1566 smb:3624 d:- ref:0 w:6,63,0,6,64,0,69,-10 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:27.90 aq:19.96 tex:28182 mv:28220 misc:5270 imb:817 pmb:2015 smb:5328 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:27.87 aq:20.81 tex:3446 mv:2211 misc:2319 imb:41 pmb:445 smb:7674 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:27.94 aq:19.08 tex:3329 mv:1980 misc:2579 imb:37 pmb:526 smb:7597 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:27.75 aq:18.09 tex:95673 mv:39559 misc:1328 imb:3063 pmb:1626 smb:3471 d:- ref:0 w:5,31,0,6,67,-6,73,-18 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:27.86 aq:18.69 tex:47281 mv:38321 misc:3942 imb:1472 pmb:2455 smb:4233 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:27.92 aq:20.17 tex:21091 mv:22829 misc:4840 imb:610 pmb:1729 smb:5821 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:27.81 aq:20.36 tex:2956 mv:2955 misc:2769 imb:50 pmb:606 smb:7504 d:- ref:0 ;
in:119 out:117 type:P dur:2 cpbdur:2 q:27.85 aq:18.02 tex:105602 mv:38803 misc:1267 imb:3451 pmb:1335 smb:3374 d:- ref:0 w:6,63,0,6,66,-4,69,-10 ;
in:117 out:118 type:B dur:2 cpbdur:2 q:27.78 aq:17.84 tex:32422 mv:23686 misc:4732 imb:477 pmb:2007 smb:5676 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:27.82 aq:20.38 tex:2069 mv:976 misc:1515 imb:13 pmb:230 smb:7917 d:- ref:0 ;
in:123 out:120 type:P dur:2 cpbdur:2 q:27.84 aq:17.78 tex:110294 mv:41680 misc:1690 imb:2855 pmb:1690 smb:3615 d:- ref:0 ;
in:121 out:121 type:B dur:2 cpbdur:2 q:27.85 aq:17.94 tex:45466 mv:33945 misc:4541 imb:834 pmb:2547 smb:4779 d:- ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:27.85 aq:18.78 tex:4128 mv:2213 misc:2931 imb:24 pmb:618 smb:7518 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:27.84 aq:20.36 tex:17760 mv:18579 misc:4677 imb:276 pmb:1747 smb:6137 d:- ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:27.57 aq:17.95 tex:90577 mv:36657 misc:2462 imb:2683 pmb:1685 smb:3792 d:- ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:27.71 aq:18.62 tex:21001 mv:22135 misc:5272 imb:380 pmb:2070 smb:5710 d:- ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:27.77 aq:20.00 tex:6685 mv:4189 misc:3726 imb:40 pmb:1140 smb:6980 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:27.64 aq:19.99 tex:2518 mv:2504 misc:2962 imb:24 pmb:664 smb:7472 d:- ref:0 ;
in:130 out:128 type:P dur:2 cpbdur:2 q:27.52 aq:16.71 tex:86781 mv:38955 misc:1848 imb:2893 pmb:1687 smb:3580 d:- ref:0 ;
in:128 out:129 type:B dur:2 cpbdur:2 q:27.55 aq:18.96 tex:22562 mv:22137 misc:5165 imb:442 pmb:2077 smb:5641 d:- ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:27.53 aq:19.82 tex:3344 mv:1836 misc:2316 imb:13 pmb:525 smb:7622 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:27.42 aq:17.38 tex:106219 mv:35104 misc:2389 imb:2477 pmb:1497 smb:4186 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:27.47 aq:18.55 tex:49031 mv:34484 misc:4037 imb:693 pmb:2339 smb:5128 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:27.49 aq:19.53 tex:25768 mv:25351 misc:4497 imb:458 pmb:1989 smb:5713 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:27.44 aq:18.58 tex:3882 mv:2557 misc:2761 imb:39 pmb:618 smb:7503 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:27.26 aq:16.69 tex:98977 mv:37203 misc:2492 imb:2260 pmb:1821 smb:4079 d:- ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:27.34 aq:17.07 tex:43664 mv:29309 misc:4635 imb:516 pmb:2430 smb:5214 d:- ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:27.38 aq:18.74 tex:3737 mv:2580 misc:2963 imb:24 pmb:721 smb:7415 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:27.30 aq:18.65 tex:18630 mv:19212 misc:5006 imb:304 pmb:1864 smb:5992 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:27.20 aq:15.69 tex:120975 mv:36356 misc:1661 imb:3409 pmb:1188 smb:3563 d:- ref:0 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:27.23 aq:17.61 tex:31429 mv:27369 misc:5138 imb:686 pmb:2222 smb:5252 d:- ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:27.25 aq:18.72 tex:4706 mv:2982 misc:3152 imb:31 pmb:765 smb:7364 d:- ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:27.21 aq:17.52 tex:5284 mv:3258 misc:3474 imb:18 pmb:970 smb:7172 d:- ref:0 ;
